sym,decision_date,intent,recommendation,risk_reward_ratio,Rank,quant_score,sa_score,ws_score,perf_6m,return_1w,return_2w,return_4w
WEX,2026-04-24,AVOID,AVOID,0.3,1238,3.36,3.0,3.64,-0.0277,-0.023391061064561604,-0.08477643196143418,
BYD,2026-04-24,AVOID,AVOID,0.2,2904,2.78,3.66,3.64,0.0538,0.004397955544989951,0.01794840591523169,
CHTR,2026-04-24,AVOID,AVOID,1.4,1887,3.13,4.66,3.1,-0.2956,-0.16403813525523722,-0.24620326805708934,
HCA,2026-04-24,AVOID,AVOID,0.6,2159,3.04,3.5,4.04,-0.0869,0.008687340082659332,0.013578354857010984,
LBRDK,2026-04-24,AVOID,AVOID,0.8,3143,2.7,,4.33,-0.2884,-0.16336326989106836,-0.2468183084890237,
NMR,2026-04-24,ENTER_NOW,BUY,2.0,1408,3.3,4.0,3.0,0.1197,-0.003190817769043899,0.014677703798996395,
SNOW,2026-04-24,NEUTRAL,WATCH,0.9,1821,3.16,3.66,4.56,-0.42,0.02664919178680644,0.11001890889938971,
THC,2026-04-24,NEUTRAL,WATCH,0.9,1094,3.4,4.0,4.54,-0.0725,0.025229381698707466,0.06500338377048842,
VG,2026-04-24,AVOID,AVOID,0.6,1360,3.31,4.0,3.68,0.433,0.04429856786188094,-0.06070551195527997,
VRSN,2026-04-24,ENTER_NOW,BUY,1.25,1929,3.12,3.33,4.0,0.1911,0.05535542297658832,0.11644389484825934,
DSNKY,2026-04-24,AVOID,AVOID,0.7,4201,1.33,4.0,5.0,-0.2475,0.06185032959454296,0.05928398748119053,
KRMN,2026-04-24,AVOID,AVOID,0.5,3091,2.72,4.0,4.36,-0.1392,-0.09624634460424047,-0.1634813673506409,
MDB,2026-04-24,AVOID,AVOID,0.3,1666,3.21,3.33,4.35,-0.1705,0.07752394206694395,0.2248011338038205,
SSNC,2026-04-24,NEUTRAL,PENDING,,1494,3.27,3.0,4.22,-0.1839,0.041641625308589114,0.03367411509666977,
CMCSA,2026-04-24,AVOID,AVOID,0.1,1319,3.33,3.25,3.26,-0.0713,-0.04913444539053617,-0.11173283376358543,
HLNE,2026-04-24,ENTER_LIMIT,BUY_LIMIT,0.4,1876,3.14,4.0,4.42,-0.3208,-0.04939922400540469,-0.0859607682037589,
ERIE,2026-04-24,AVOID,AVOID,1.2,4269,1.23,3.0,5.0,-0.242,-0.08293512494083967,-0.07892494071465712,
CAR,2026-04-25,NEUTRAL,PENDING,,2617,2.88,2.2,2.5,0.017,-0.17499998504040287,,
CAR,2026-04-25,NEUTRAL,PENDING,,2617,2.88,2.2,2.5,0.017,-0.17499998504040287,,
CAR,2026-04-25,AVOID,AVOID,0.5,2617,2.88,2.2,2.5,0.017,-0.17499998504040287,,
IBRX,2026-04-25,NEUTRAL,PENDING,,985,3.44,3.0,4.75,2.9953,-0.0013441090942711484,,
IBRX,2026-04-25,AVOID,AVOID,0.5,985,3.44,3.0,4.75,2.9953,-0.0013441090942711484,,
DPZ,2026-04-27,ENTER_NOW,BUY,1.96,3228,2.67,3.5,4.0,-0.2114,-0.009087076513894118,,
TAL,2026-04-27,AVOID,AVOID,1.6,567,4.29,4.0,4.52,-0.0554,0.03467936753660366,,
DLTR,2026-04-27,ENTER_NOW,BUY,0.91,2376,2.97,3.66,3.25,-0.1088,-0.035434049005099055,,
CAR,2026-04-28,AVOID,AVOID,0.1,2617,2.88,2.2,2.5,0.017,-0.14417059868757348,,
ARE,2026-04-28,AVOID,AVOID,0.5,239,2.65,3.62,3.18,-0.1681,0.09870812083432948,,
AWI,2026-04-28,ENTER_LIMIT,BUY_LIMIT,1.0,3920,2.0,3.0,4.22,-0.1428,0.007384739591312937,,
QGEN,2026-04-28,AVOID,AVOID,0.9,4167,1.38,,3.81,-0.2415,-0.0064289888953827845,,
RMBS,2026-04-28,AVOID,AVOID,0.3,2828,2.81,3.5,4.55,0.2004,0.06546179190808854,,
SFD,2026-04-28,ENTER_NOW,BUY,1.16,421,4.61,3.0,4.42,0.1882,-0.013417841470201496,,
SPOT,2026-04-28,AVOID,AVOID,1.0,2098,3.06,3.6,4.41,-0.3227,-0.011416792272643594,,
TSEM,2026-04-28,AVOID,AVOID,0.5,899,3.47,3.75,4.6,1.5101,0.18360491631528977,,
ZBH,2026-04-28,ENTER_NOW,BUY,2.16,2295,2.99,4.0,3.4,-0.0697,-0.03532827267599684,,
ERAS,2026-04-28,AVOID,AVOID,0.7,910,3.47,3.0,4.3,3.4581,0.06389773920321229,,
GLW,2026-04-28,ENTER_LIMIT,BUY_LIMIT,0.5,932,3.46,3.25,4.18,1.1869,0.05864685281815321,,
RDDT,2026-04-28,AVOID,AVOID,0.1,1333,3.32,4.33,4.0,-0.1993,0.1601325191483879,,
ALLE,2026-04-28,ENTER_NOW,BUY,2.0,3925,1.98,4.0,3.61,-0.1971,-0.03669996878953761,,
CIEN,2026-04-28,NEUTRAL,WATCH,0.1,836,3.49,4.0,3.95,1.7507,0.1636973425617363,,
CLS,2026-04-28,NEUTRAL,WATCH,0.7,207,4.84,4.06,4.71,0.1659,0.17858202091600528,,
CRDO,2026-04-28,NEUTRAL,WATCH,0.5,46,4.96,4.0,4.66,0.1522,0.17364875983352182,,
ENTG,2026-04-28,AVOID,AVOID,0.1,1029,3.43,2.5,3.81,0.7204,0.03843072574084671,,
FORM,2026-04-28,NEUTRAL,PENDING,,847,3.49,4.0,3.4,1.83,0.10178184719425562,,
BF.B,2026-04-29,AVOID,AVOID,1.3,1368,3.31,3.25,3.05,0.0406,,,
COIN,2026-04-29,AVOID,AVOID,0.3,3917,2.0,3.72,3.96,-0.3493,0.10216584106601621,,
GEHC,2026-04-29,AVOID,AVOID,1.0,3196,2.68,3.5,4.05,-0.1311,0.03356600123474701,,
GSK,2026-04-29,AVOID,AVOID,0.7,2325,2.98,4.25,3.12,0.0811,-0.00019788723195734363,,
HOOD,2026-04-29,ENTER_LIMIT,BUY_LIMIT,0.5,3897,2.06,3.83,4.07,-0.4091,0.11212565896443323,,
PTCT,2026-04-29,AVOID,AVOID,0.4,2406,2.95,4.0,3.8,0.0266,0.039831297951018786,,
