tp_pct,sl_pct,n,n_tp,n_sl,n_timeout,total_gross_eur,total_net_eur,roi,win_rate
0.045,0.065,18,9,4,5,69.79712214222447,-38.20287785777555,-0.00282984280427967,0.5
0.045,0.07,18,9,3,6,77.17487699313382,-30.825123006866136,-0.002283342444953047,0.5
0.045,0.075,18,9,2,7,95.67867248613622,-12.321327513863764,-0.0009126909269528714,0.5
0.045,0.08,18,9,2,7,88.17867248613622,-19.821327513863764,-0.001468246482508427,0.5
0.045,0.085,18,10,1,7,178.17867248613624,70.17867248613622,0.005198420184158239,0.5555555555555556
0.045,0.09,18,10,1,7,174.42867248613624,66.42867248613622,0.004920642406380461,0.5555555555555556
0.045,0.095,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.1,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.105,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.11,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.115,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.12,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.125,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.13,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.135,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.14,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.145,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.045,0.15,18,11,0,7,275.6786724861362,167.67867248613624,0.012420642406380461,0.6111111111111112
0.05,0.01,18,5,12,1,97.49997249016393,-10.500027509836073,-0.0007777798155434128,0.2777777777777778
0.05,0.015,18,6,9,3,119.13740611979827,11.137406119798271,0.000824993045910983,0.3333333333333333
0.05,0.02,18,6,9,3,85.38740611979827,-22.61259388020173,-0.001675006954089017,0.3333333333333333
0.05,0.025,18,7,7,4,119.82209873437768,11.822098734377676,0.0008757110173613093,0.3888888888888889
0.05,0.03,18,7,7,4,93.57209873437768,-14.427901265622324,-0.0010687334270831352,0.3888888888888889
0.05,0.035,18,7,7,4,67.32209873437765,-40.677901265622324,-0.0030131778715275794,0.3888888888888889
0.05,0.04,18,8,6,4,108.57209873437768,0.5720987343776756,4.237768402797597e-05,0.4444444444444444
0.05,0.045,18,9,4,5,163.54712214222445,55.54712214222447,0.004114601640164775,0.5
0.05,0.05,18,9,4,5,148.54712214222445,40.54712214222447,0.0030034905290536643,0.5
0.05,0.055,18,9,4,5,133.54712214222448,25.547122142224453,0.0018923794179425521,0.5
